ID;tempo;trat;origem;trat_origem;D1;D2;D3;D4;D5;D6;fluorescente;morto
T0AF;T0;A;F;AF;0;0;0;5;6;1;0;0
T0AP;T0;A;P;AP;0;0;0;1;10;1;0;0
T0AR;T0;A;R;AR;0;0;6;6;0;0;0;0
T0CF;T0;C;F;CF;0;0;2;4;2;0;0;0
T0CP;T0;C;P;CP;0;0;0;1;7;0;0;0
T0CR;T0;C;R;CR;0;0;2;5;1;0;0;0
T1AF;T1;A;F;AF;0;0;1;8;3;0;0;0
T1AP;T1;A;P;AP;0;0;1;3;7;1;0;0
T1AR;T1;A;R;AR;0;0;2;10;0;0;0;0
T1CF;T1;C;F;CF;0;0;1;5;2;0;0;0
T1CP;T1;C;P;CP;0;0;0;1;7;0;0;0
T1CR;T1;C;R;CR;0;0;2;5;1;0;0;0
T2AF;T2;A;F;AF;0;9;2;1;0;0;0;0
T2AP;T2;A;P;AP;0;1;1;3;7;0;0;0
T2AR;T2;A;R;AR;1;0;5;6;0;0;0;0
T2CF;T2;C;F;CF;0;0;0;6;2;0;0;0
T2CP;T2;C;P;CP;0;0;0;0;8;0;0;0
T2CR;T2;C;R;CR;0;0;0;8;0;0;0;0
T3AF;T3;A;F;AF;5;6;1;0;0;0;0;0
T3AP;T3;A;P;AP;1;0;4;5;2;0;0;0
T3AR;T3;A;R;AR;0;5;6;0;0;0;0;1
T3CF;T3;C;F;CF;0;0;2;4;2;0;0;0
T3CP;T3;C;P;CP;0;0;0;0;8;0;0;0
T3CR;T3;C;R;CR;0;0;1;7;0;0;0;0
T4AF;T4;A;F;AF;8;4;0;0;0;0;0;0
T4AP;T4;A;P;AP;0;3;3;3;3;0;0;0
T4AR;T4;A;R;AR;1;7;3;0;0;0;0;1
T4CF;T4;C;F;CF;0;0;1;6;1;0;0;0
T4CP;T4;C;P;CP;0;0;0;3;5;0;0;0
T4CR;T4;C;R;CR;0;0;1;7;0;0;0;0
T5AF;T5;A;F;AF;5;7;0;0;0;0;0;0
T5AP;T5;A;P;AP;0;1;3;3;5;0;0;0
T5AR;T5;A;R;AR;0;4;4;2;0;0;0;2
T5CF;T5;C;F;CF;0;0;1;5;2;0;0;0
T5CP;T5;C;P;CP;0;0;0;4;4;0;0;0
T5CR;T5;C;R;CR;0;0;0;6;2;0;0;0
T6AF;T6;A;F;AF;4;8;0;0;0;0;0;0
T6AP;T6;A;P;AP;0;0;2;3;6;0;1;0
T6AR;T6;A;R;AR;0;4;2;1;0;0;2;3
T6CF;T6;C;F;CF;0;0;1;3;4;0;0;0
T6CP;T6;C;P;CP;1;0;0;1;6;0;0;0
T6CR;T6;C;R;CR;0;0;1;3;3;1;0;0
T7AF;T7;A;F;AF;7;4;0;0;0;0;1;0
T7AP;T7;A;P;AP;0;0;2;2;7;0;1;0
T7AR;T7;A;R;AR;1;3;1;2;0;0;2;3
T7CF;T7;C;F;CF;0;0;0;4;4;0;0;0
T7CP;T7;C;P;CP;1;0;0;1;6;0;0;0
T7CR;T7;C;R;CR;0;0;0;6;1;0;0;1
